long,lat,n
-76.7116,39.2992,1
-76.7113,39.3553,1
-76.7113,39.3607,1
-76.7112,39.3126,2
-76.711,39.2973,1
-76.711,39.3364,1
-76.7109,39.3092,1
-76.7107,39.28,1
-76.7107,39.3257,2
-76.7106,39.3658,1
-76.7104,39.3611,2
-76.7103,39.3265,1
-76.7103,39.3593,1
-76.7101,39.3201,2
-76.71,39.3135,1
-76.7098,39.3066,1
-76.7097,39.2801,1
-76.7097,39.2803,2
-76.7097,39.359,1
-76.7097,39.366,1
-76.7095,39.2811,1
-76.7095,39.3617,2
-76.7094,39.2811,1
-76.7093,39.3584,1
-76.7092,39.3282,1
-76.7091,39.2969,1
-76.7091,39.358,1
-76.709,39.3076,2
-76.7089,39.3292,2
-76.7089,39.3543,1
-76.7087,39.364,2
-76.7087,39.3698,1
-76.7086,39.2894,1
-76.7086,39.3489,2
-76.7086,39.355,1
-76.7086,39.364,1
-76.7085,39.3342,1
-76.7085,39.355,3
-76.7084,39.2829,1
-76.7084,39.2916,1
-76.7083,39.3519,8
-76.7081,39.2835,3
-76.7081,39.2959,1
-76.7081,39.3066,1
-76.7081,39.3105,3
-76.7081,39.3545,2
-76.708,39.3631,1
-76.7079,39.2835,1
-76.7079,39.2936,2
-76.7078,39.2835,1
-76.7078,39.3098,1
-76.7078,39.3601,1
-76.7076,39.2853,1
-76.7076,39.3326,1
-76.7076,39.36,3
-76.7076,39.3689,1
-76.7075,39.3599,3
-76.7074,39.3438,1
-76.7073,39.2942,1
-76.7071,39.2827,1
-76.7071,39.3073,2
-76.7069,39.2827,1
-76.7069,39.3469,3
-76.7069,39.3594,2
-76.7069,39.3609,1
-76.7069,39.3682,1
-76.7068,39.2828,1
-76.7068,39.3593,1
-76.7067,39.2829,1
-76.7066,39.283,1
-76.7066,39.3069,2
-76.7066,39.3592,2
-76.7066,39.3624,1
-76.7066,39.3666,1
-76.7064,39.282,1
-76.7064,39.2958,1
-76.7063,39.2946,1
-76.7063,39.3632,1
-76.7062,39.3329,1
-76.7062,39.3363,2
-76.7062,39.3534,1
-76.7061,39.2945,2
-76.7061,39.3365,1
-76.7061,39.3534,3
-76.706,39.2955,1
-76.706,39.3213,1
-76.706,39.3334,1
-76.7059,39.2827,1
-76.7059,39.2859,1
-76.7059,39.3051,1
-76.7058,39.2829,2
-76.7058,39.3054,1
-76.7058,39.3208,1
-76.7058,39.3435,1
